insert into clientes (cedula, nombre) values (678021056, 'Tove');
insert into clientes (cedula, nombre) values (545637636, 'Jerrome');
insert into clientes (cedula, nombre) values (154473949, 'Brynne');
insert into clientes (cedula, nombre) values (425551844, 'Christian');
insert into clientes (cedula, nombre) values (181634002, 'Lucia');
insert into clientes (cedula, nombre) values (762583319, 'Quincey');
insert into clientes (cedula, nombre) values (148355286, 'Dannie');
insert into clientes (cedula, nombre) values (851282013, 'Raimund');
insert into clientes (cedula, nombre) values (285876315, 'Risa');
insert into clientes (cedula, nombre) values (898166430, 'Nelli');


insert into sucursales (nombre) values ('Tambee');
insert into sucursales (nombre) values ('Thoughtstorm');
insert into sucursales (nombre) values ('Brightbean');
insert into sucursales (nombre) values ('Zoonoodle');
insert into sucursales (nombre) values ('Twitternation');
insert into sucursales (nombre) values ('Yakitri');
insert into sucursales (nombre) values ('Twimm');
insert into sucursales (nombre) values ('Thoughtbeat');
insert into sucursales (nombre) values ('Izio');
insert into sucursales (nombre) values ('Twimbo');


insert into productos (ID, nombre, nombreSucursal) values (1, 'Ensalada de kiwi y gambas', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (34, 'Galletas saladas', 'Zoonoodle');
insert into productos (ID, nombre, nombreSucursal) values (35, 'Panecillos de centeno', 'Twitternation');
insert into productos (ID, nombre, nombreSucursal) values (36, 'Flan de pera', 'Yakitri');
insert into productos (ID, nombre, nombreSucursal) values (37, 'Tres leches', 'Twimm');
insert into productos (ID, nombre, nombreSucursal) values (38, 'Tarta de naranja', 'Thoughtbeat');
insert into productos (ID, nombre, nombreSucursal) values (39, 'Mousse de chocolate', 'Izio');
insert into productos (ID, nombre, nombreSucursal) values (40, 'Arroz con leche', 'Twimbo');
insert into productos (ID, nombre, nombreSucursal) values (41, 'Bizcocho', 'Tambee');
insert into productos (ID, nombre, nombreSucursal) values (42, 'Pan de plátano', 'Thoughtstorm');
insert into productos (ID, nombre, nombreSucursal) values (43, 'Pastel de manzana', 'Brightbean');
insert into productos (ID, nombre, nombreSucursal) values (44, 'Torrijas de vino dulce', 'Zoonoodle');
insert into productos (ID, nombre, nombreSucursal) values (45, 'Pastel de manzana', 'Twitternation');
insert into productos (ID, nombre, nombreSucursal) values (46, 'Batido', 'Yakitri');
insert into productos (ID, nombre, nombreSucursal) values (47, 'Gaseosa', 'Twimm');
insert into productos (ID, nombre, nombreSucursal) values (48, 'Cerveza', 'Thoughtbeat');
insert into productos (ID, nombre, nombreSucursal) values (49, 'Zumo', 'Izio');
insert into productos (ID, nombre, nombreSucursal) values (50, 'Sangría', 'Twimbo');



insert into compras (ID, fecha, cedulaCliente) values (1, '2018-07-08', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (2, '2019-03-10', 678021056);
insert into compras (ID, fecha, cedulaCliente) values (3, '2018-06-27', 285876315);
insert into compras (ID, fecha, cedulaCliente) values (4, '2019-01-08', 425551844);
insert into compras (ID, fecha, cedulaCliente) values (5, '2019-02-07', 285876315);
insert into compras (ID, fecha, cedulaCliente) values (6, '2019-02-01', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (7, '2018-09-19', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (8, '2018-11-11', 678021056);
insert into compras (ID, fecha, cedulaCliente) values (9, '2019-10-20', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (10, '2019-03-23', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (11, '2018-07-10', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (12, '2018-03-09', 181634002);
insert into compras (ID, fecha, cedulaCliente) values (13, '2019-10-12', 762583319);
insert into compras (ID, fecha, cedulaCliente) values (14, '2019-04-15', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (15, '2018-12-12', 678021056);
insert into compras (ID, fecha, cedulaCliente) values (16, '2018-09-23', 851282013);
insert into compras (ID, fecha, cedulaCliente) values (17, '2019-09-09', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (18, '2018-07-08', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (19, '2018-03-17', 678021056);
insert into compras (ID, fecha, cedulaCliente) values (20, '2018-09-30', 181634002);
insert into compras (ID, fecha, cedulaCliente) values (21, '2018-02-13', 545637636);
insert into compras (ID, fecha, cedulaCliente) values (22, '2019-03-26', 545637636);
insert into compras (ID, fecha, cedulaCliente) values (23, '2018-02-23', 851282013);
insert into compras (ID, fecha, cedulaCliente) values (24, '2018-04-12', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (25, '2019-07-25', 285876315);
insert into compras (ID, fecha, cedulaCliente) values (26, '2018-08-07', 762583319);
insert into compras (ID, fecha, cedulaCliente) values (27, '2019-09-22', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (28, '2018-12-08', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (29, '2018-12-29', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (30, '2018-10-04', 762583319);
insert into compras (ID, fecha, cedulaCliente) values (31, '2019-01-17', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (32, '2018-03-24', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (33, '2018-06-26', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (34, '2018-11-27', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (35, '2019-03-25', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (36, '2019-03-01', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (37, '2019-06-02', 851282013);
insert into compras (ID, fecha, cedulaCliente) values (38, '2019-03-07', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (39, '2018-03-05', 181634002);
insert into compras (ID, fecha, cedulaCliente) values (40, '2019-08-25', 181634002);
insert into compras (ID, fecha, cedulaCliente) values (41, '2018-10-12', 898166430);
insert into compras (ID, fecha, cedulaCliente) values (42, '2019-09-21', 154473949);
insert into compras (ID, fecha, cedulaCliente) values (43, '2018-10-27', 425551844);
insert into compras (ID, fecha, cedulaCliente) values (44, '2019-10-22', 762583319);
insert into compras (ID, fecha, cedulaCliente) values (45, '2018-11-16', 762583319);
insert into compras (ID, fecha, cedulaCliente) values (46, '2019-06-23', 285876315);
insert into compras (ID, fecha, cedulaCliente) values (47, '2019-10-22', 285876315);
insert into compras (ID, fecha, cedulaCliente) values (48, '2019-01-16', 851282013);
insert into compras (ID, fecha, cedulaCliente) values (49, '2019-02-26', 148355286);
insert into compras (ID, fecha, cedulaCliente) values (50, '2018-03-09', 762583319);


insert into detalles (IDCompra, IDProducto, cantidad) values (1, 47, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (2, 10, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (3, 50, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (4, 8, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (5, 5, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (6, 41, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (7, 31, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (8, 45, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (9, 17, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (10, 28, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (11, 22, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (12, 1, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (13, 11, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (14, 15, 2);
insert into detalles (IDCompra, IDProducto, cantidad) values (15, 17, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (16, 47, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (17, 3, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (18, 13, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (19, 14, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (20, 27, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (21, 31, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (22, 4, 2);
insert into detalles (IDCompra, IDProducto, cantidad) values (23, 22, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (24, 8, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (25, 8, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (26, 5, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (27, 44, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (28, 11, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (29, 48, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (30, 40, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (31, 3, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (32, 1, 2);
insert into detalles (IDCompra, IDProducto, cantidad) values (33, 3, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (34, 2, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (35, 31, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (36, 30, 5);
insert into detalles (IDCompra, IDProducto, cantidad) values (37, 27, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (38, 42, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (39, 38, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (40, 26, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (41, 42, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (42, 35, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 34, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (44, 21, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (45, 49, 2);
insert into detalles (IDCompra, IDProducto, cantidad) values (46, 9, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (47, 11, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (48, 47, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (49, 2, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (50, 17, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (28, 13, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (22, 12, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 19, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (16, 18, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (29, 3, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (7, 43, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 41, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (45, 35, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (38, 12, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (33, 14, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (24, 12, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (3, 8, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (35, 19, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (26, 37, 10);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 37, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (32, 39, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (31, 25, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (48, 18, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (5, 20, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (48, 1, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (12, 5, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (27, 25, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (22, 2, 2);
insert into detalles (IDCompra, IDProducto, cantidad) values (9, 36, 5);
insert into detalles (IDCompra, IDProducto, cantidad) values (46, 11, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (44, 11, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (26, 25, 5);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 23, 5);
insert into detalles (IDCompra, IDProducto, cantidad) values (45, 45, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (49, 46, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (31, 20, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (22, 7, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (23, 16, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (40, 4, 3);
insert into detalles (IDCompra, IDProducto, cantidad) values (47, 7, 1);
insert into detalles (IDCompra, IDProducto, cantidad) values (39, 12, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (5, 1, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (7, 31, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (5, 44, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (8, 27, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (43, 5, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (2, 17, 9);
insert into detalles (IDCompra, IDProducto, cantidad) values (21, 28, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (38, 11, 5);
insert into detalles (IDCompra, IDProducto, cantidad) values (1, 49, 8);
insert into detalles (IDCompra, IDProducto, cantidad) values (6, 44, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (15, 19, 6);
insert into detalles (IDCompra, IDProducto, cantidad) values (15, 23, 7);
insert into detalles (IDCompra, IDProducto, cantidad) values (41, 25, 4);
insert into detalles (IDCompra, IDProducto, cantidad) values (36, 2, 6);
